,day,new_infections,infected,recovered,immune,alive,dead
0,0,14,19,0,20,5000,0
1,1,14,33,0,20,5000,0
2,2,28,61,0,20,5000,0
3,3,37,98,0,20,5000,0
4,4,42,140,0,20,5000,0
5,5,34,174,0,20,5000,0
6,6,43,217,0,20,5000,0
7,7,43,260,0,20,5000,0
8,8,46,306,0,20,5000,0
9,9,46,352,0,20,5000,0
10,10,36,388,0,20,5000,0
11,11,46,434,0,20,4998,2
12,12,50,484,0,20,4995,5
13,13,66,550,0,20,4989,11
14,14,50,600,0,20,4980,20
15,15,52,640,12,32,4969,31
16,16,52,683,21,41,4957,43
17,17,53,718,39,59,4943,57
18,18,60,754,63,83,4929,71
19,19,46,767,96,116,4915,85
20,20,41,786,118,138,4900,100
21,21,50,810,144,164,4886,114
22,22,47,827,174,194,4871,129
23,23,54,852,203,223,4856,144
24,24,52,873,234,254,4839,161
